kic,TCE_ID,tic,disposition,not_transit,pn,n_plan,period,depth
2582539,002582539-01,137890994,FP,1,1,1,0.5991345453,42.8389375
2583153,002583153-01,137977636,FP,1,1,3,1.362873026,95.7513307
2583153,002583153-02,137977636,FP,1,2,3,0.6368614592,186.5040289
2583153,002583153-03,137977636,FP,1,3,3,0.6368765365,151.1099273
2583234,002583234-01,137977639,FP,1,1,2,0.666125627,10.67902902
2583234,002583234-02,137977639,FP,1,2,2,277.5971791,317.6181138
2583777,002583777-01,138036515,FP,0,1,2,0.9581244176,1281.566158
2583777,002583777-02,138036515,FP,1,2,2,0.9581146881,5164.345802000001
2584879,002584879-01,138154506,FP,1,1,6,0.8980976392,4.3621419889999995
2584879,002584879-02,138154506,FP,1,2,6,87.13471297,56.38546175
2584879,002584879-04,138154506,FP,1,4,6,111.8386635,94.37327556
2584879,002584879-05,138154506,FP,1,5,6,73.82951287,110.64282560000001
2584879,002584879-06,138154506,FP,1,6,6,34.9898484,135.83225149999998
2584908,002584908-01,138154398,FP,1,1,1,0.6044938303,4.946449445
2692377,002692377-01,120629799,PC,0,1,2,1.541673897,210.76681910000002
2692377,002692377-02,120629799,FP,1,2,2,1.5412572219999998,23.27998231
2692704,002692704-01,120629872,FP,1,1,4,552.8618828,861.8086546
2692704,002692704-02,120629872,FP,1,2,4,438.33897800000005,969.9704327
2692704,002692704-03,120629872,FP,1,3,4,335.19177,892.3747193
2692704,002692704-04,120629872,FP,1,4,4,78.42884414,230.33293319999999
2692708,002692708-01,120637232,FP,1,1,1,622.9255841,1056.034898
2693092,002693092-01,120637242,FP,0,1,2,39.84151362,143893.9917
2693092,002693092-02,120637242,FP,1,2,2,39.84150954,4875.947671
2693450,002693450-01,120694025,FP,1,1,4,0.8476754262999999,3.247327893
2693450,002693450-02,120694025,FP,1,2,4,36.5878986,159.562198
2693450,002693450-03,120694025,FP,1,3,4,37.52981983,59.368049899999995
2693450,002693450-04,120694025,FP,1,4,4,138.8085508,315.3166198
2694337,002694337-01,120824631,FP,1,1,3,0.8123063447,128.6462362
2694337,002694337-02,120824631,FP,1,2,3,0.8123477839,147.7437428
2694337,002694337-03,120824631,FP,1,3,3,0.812291403,114.46165220000002
2694632,002694632-01,120824607,FP,1,1,4,0.9222824838,9.285237352000001
2694632,002694632-02,120824607,FP,1,2,4,24.88479386,2488.662977
2694632,002694632-04,120824607,FP,1,4,4,20.29386612,770.0033338
2695030,002695030-01,120891312,FP,1,1,1,0.6713489306999999,136.0998145
2696703,002696703-01,121083955,FP,0,1,3,6.094054326,2730.740516
2696703,002696703-02,121083955,FP,1,2,3,557.9838302,4542.813371
2696703,002696703-03,121083955,FP,1,3,3,419.2909299,633.1799589
2696938,002696938-01,121126527,FP,1,1,6,342.95748960000003,339.4702799
2696938,002696938-02,121126527,FP,1,2,6,417.0415777,543.7246660000001
2696938,002696938-03,121126527,FP,1,3,6,291.992005,619.70245
2696938,002696938-04,121126527,FP,1,4,6,429.7420637,245.4435406
2696938,002696938-05,121126527,FP,1,5,6,316.8171353,387.43356719999997
2696938,002696938-06,121126527,FP,1,6,6,302.4287372,291.72062420000003
2707479,002707479-01,122305626,FP,1,1,2,1.425132845,396.6098144
2707479,002707479-02,122305626,FP,1,2,2,1.4251577130000002,516.4929531
2707985,002707985-01,122305803,FP,0,1,1,1.891287306,30.26834275
2708156,002708156-01,122375269,FP,0,1,1,1.8912832030000002,32117.895010000004
2710406,002710406-01,122608097,FP,1,1,3,4.254101146,49.6619659
2710406,002710406-02,122608097,FP,1,2,3,4.2542226869999995,76.84691096
2710406,002710406-03,122608097,FP,1,3,3,4.253795552,358.7189355
2711114,002711114-01,122682776,FP,0,1,1,1.429450962,3024.610847
2711131,002711131-01,122682786,FP,0,1,1,2.8589080960000004,65.20286015
2712821,002712821-01,137149565,FP,1,1,1,0.7500445837,8.567094643999999
