,kic,tic,tess_light_curves
10978,10646620,123446316,0
10979,10646620,123446316,0
10980,10646620,123446316,0
10981,10646620,123446316,0
10982,10646620,123446316,0
10983,10647493,164456301,0
10984,10647493,164456301,0
10985,10647493,164456301,0
10986,10647493,164456301,0
10987,10647493,164456301,0
10988,10647611,48217145,0
10989,10647611,48217145,0
10990,10647611,48217145,0
10991,10647611,48217145,0
10992,10647611,48217145,0
10993,10648728,164557409,0
10994,10648728,164557409,0
10995,10649230,48420230,0
10996,10649230,48420230,0
10997,10651961,351907973,0
10998,10652379,352015934,0
10999,10652379,352015934,0
11000,10652379,352015934,0
11001,10652379,352015934,0
11002,10652379,352015934,0
11003,10652379,352015934,0
11004,10652379,352015934,0
11005,10652379,352015934,0
11006,10652379,352015934,0
11007,10652379,352015934,0
11008,10657150,298965849,0
11009,10657634,298965947,0
11010,10657634,298965947,0
11011,10657634,298965947,0
11012,10657634,298965947,0
11013,10657634,298965947,0
11014,10658177,158839521,0
11015,10658802,299156567,0
11016,10658802,299156567,0
11017,10658802,299156567,0
11018,10658802,299156567,0
11019,10658802,299156567,0
11020,10658802,299156567,0
11021,10659624,299222403,0
11022,10659654,299222328,0
11023,10661721,406947862,0
11024,10661721,406947862,0
11025,10661917,159393414,0
11026,10663294,417659907,0
11027,10663294,417659907,0
11028,10663294,417659907,0
11029,10663396,417659970,0
11030,10664703,26416999,0
11031,10664703,26416999,0
11032,10664703,26416999,0
11033,10664975,62916125,4
11034,10665619,26539203,0
11035,10666592,424865156,0
11036,10666592,424865156,0
11037,10666592,424865156,0
11038,10666592,424865156,0
11039,10666592,424865156,0
11040,10666592,424865156,0
11041,10666592,424865156,0
11042,10668233,240176847,0
11043,10668233,240176847,0
11044,10669199,26816536,0
11045,10669199,26816536,0
11046,10669199,26816536,0
11047,10669199,26816536,0
11048,10669199,26816536,0
11049,10669199,26816536,0
11050,10669199,26816536,0
11051,10669199,26816536,0
11052,10669515,270515877,0
11053,10669515,270515877,0
11054,10669516,26816524,0
11055,10669516,26816524,0
11056,10670119,26961231,0
11057,10670119,26961231,0
11058,10670412,270695436,0
11059,10671396,27010507,0
11060,10671396,27010507,0
11061,10675762,271877327,0
11062,10675762,271877327,0
11063,10675762,271877327,0
11064,10676014,27645404,0
11065,10676126,27645448,0
11066,10677193,272280432,0
11067,10677193,272280432,0
11068,10678547,351188594,0
11069,10678547,351188594,0
11070,10678547,351188594,0
11071,10678547,351188594,0
11072,10678547,351188594,0
11073,10678547,351188594,0
11074,10678547,351188594,0
11075,10678547,351188594,0
11076,10678547,351188594,0
11077,10678963,27987554,0
11078,10678963,27987554,0
11079,10678963,27987554,0
11080,10678963,27987554,0
11081,10678963,27987554,0
11082,10678963,27987554,0
11083,10679429,272841319,0
11084,10679429,272841319,0
11085,10681464,28230433,0
11086,10681550,28230536,0
11087,10681550,28230536,0
11088,10681550,28230536,0
11089,10681550,28230536,0
11090,10681550,28230536,0
11091,10682720,273680984,0
11092,10682720,273680984,0
11093,10684587,267991261,0
11094,10684587,267991261,0
11095,10685175,264509538,2
11096,10685175,264509538,2
11097,10685653,268056829,0
11098,10686752,416528587,0
11099,10686876,268383780,4
11100,10686909,268383767,0
11101,10710753,48030883,0
11102,10710753,48030883,0
11103,10713398,48305115,0
11104,10713398,48305115,0
11105,10717721,377782764,0
11106,10717871,377782751,0
11107,10722668,298965736,0
11108,10722668,298965736,0
11109,10722668,298965736,0
11110,10723618,299032518,0
11111,10723618,299032518,0
11112,10724625,299156745,0
11113,10724625,299156745,0
11114,10724625,299156745,0
11115,10729645,350812299,0
11116,10729645,350812299,0
11117,10730838,26538996,0
11118,10730838,26538996,0
11119,10731529,26539335,0
11120,10732063,424865005,0
11121,10732638,424865446,0
11122,10732638,424865446,0
11123,10733196,26596308,0
11124,10733985,26750685,0
11125,10734935,26816693,0
11126,10734935,26816693,0
11127,10734935,26816693,0
11128,10734935,26816693,0
11129,10734935,26816693,0
11130,10735279,26961017,0
11131,10735279,26961017,0
11132,10735279,26961017,0
11133,10735279,26961017,0
11134,10735329,26961045,0
11135,10735331,26960947,0
11136,10735757,26961405,0
11137,10735757,26961405,0
11138,10735757,26961405,0
11139,10736489,27010191,0
11140,10736489,27010191,0
11141,10736489,27010191,0
11142,10736489,27010191,0
11143,10736489,27010191,0
11144,10736489,27010191,0
11145,10741920,27645523,0
11146,10741920,27645523,0
11147,10745159,27987401,0
11148,10747037,28088499,0
11149,10748390,28230919,4
11150,10749793,28359740,0
11151,10749793,28359740,0
11152,10749793,28359740,0
11153,10750903,267991133,0
11154,10751733,264509218,0
11155,10752318,264509443,0
11156,10752318,264509443,0
11157,10752318,264509443,0
11158,10752318,264509443,0
11159,10752318,264509443,0
11160,10752318,264509443,0
11161,10753072,416528859,0
11162,10753210,416528693,0
11163,10753210,416528693,0
11164,10753210,416528693,0
11165,10753210,416528693,0
11166,10753210,416528693,0
11167,10753394,416528820,0
11168,10777903,48188899,0
11169,10777903,48188899,0
11170,10777903,48188899,0
11171,10779233,48217265,0
11172,10783150,279917102,0
11173,10785538,399827171,0
11174,10788451,298892207,0
11175,10788451,298892207,0
11176,10789361,298966262,0
11177,10789361,298966262,0
11178,10789361,298966262,0
11179,10789361,298966262,0
11180,10789361,298966262,0
11181,10789361,298966262,0
11182,10789361,298966262,0
11183,10789361,298966262,0
11184,10793114,267749860,0
11185,10793114,267749860,0
11186,10793114,267749860,0
11187,10794087,290035649,0
11188,10794509,417659575,0
11189,10794509,417659575,0
11190,10794974,417660221,0
11191,10795103,417660218,0
11192,10797849,26585042,0
11193,10798143,424864960,0
11194,10798521,424865561,0
11195,10799509,26750122,0
11196,10800497,26816099,0
11197,10801100,26816881,0
11198,10801714,26961610,2
11199,10802309,27010085,0
11200,10802309,27010085,0
11201,10802309,27010085,0
11202,10802309,27010085,0
11203,10803371,27183599,0
11204,10803371,27183599,0
11205,10803430,27183651,0
11206,10810140,351188893,0
11207,10811753,27988149,0
11208,10811753,27988149,0
11209,10811753,27988149,0
11210,10812504,28088683,0
11211,10812657,28088884,0
11212,10812657,28088884,0
11213,10812657,28088884,0
11214,10812657,28088884,0
11215,10812657,28088884,0
11216,10812657,28088884,0
11217,10812657,28088884,0
11218,10813970,28231143,0
11219,10813970,28231143,0
11220,10813970,28231143,0
11221,10815083,28359837,0
11222,10815466,28360165,0
11223,10815466,28360165,0
11224,10815932,28450356,0
11225,10815932,28450356,0
11226,10815932,28450356,0
11227,10815932,28450356,0
11228,10815932,28450356,0
11229,10815932,28450356,0
11230,10815932,28450356,0
11231,10815932,28450356,0
11232,10815932,28450356,0
11233,10816278,28450494,0
11234,10817600,416528056,0
11235,10819040,416634587,0
11236,10842687,48031164,0
11237,10842687,48031164,0
11238,10847907,48506230,0
11239,10847907,48506230,0
11240,10847907,48506230,0
11241,10847907,48506230,0
11242,10847907,48506230,0
11243,10847907,48506230,0
11244,10847907,48506230,0
11245,10849244,405685992,4
11246,10849244,405685992,4
11247,10849244,405685992,4
11248,10850327,399827109,0
11249,10850327,399827109,0
11250,10851035,399912258,0
11251,10851035,399912258,0
11252,10851035,399912258,0
11253,10851035,399912258,0
11254,10853783,298966312,0
11255,10853783,298966312,0
11256,10853806,298966324,0
11257,10853908,298966343,0
11258,10854166,299032364,0
11259,10854403,299032315,0
11260,10857519,267749737,2
11261,10857583,267749789,0
11262,10857583,267749789,0
11263,10857583,267749789,0
11264,10857583,267749789,0
11265,10857583,267749789,0
11266,10857583,267749789,0
11267,10857583,267749789,0
11268,10857583,267749789,0
11269,10857698,267749724,0
11270,10859386,417660251,0
11271,10859386,417660251,0
11272,10860098,26416480,0
11273,10860156,26416409,0
11274,10862354,424864839,0
11275,10862889,424865739,0
11276,10863286,26596613,0
11277,10863286,26596613,0
11278,10863286,26596613,0
11279,10863286,26596613,0
11280,10865397,26960731,0
11281,10865397,26960731,0
11282,10865397,26960731,0
11283,10865397,26960731,0
11284,10865397,26960731,0
11285,10865397,26960731,0
11286,10865397,26960731,0
11287,10865397,26960731,0
11288,10865397,26960731,0
11289,10865397,26960731,0
11290,10866952,27183550,0
11291,10872868,27772498,0
11292,10873904,351189259,0
11293,10874614,27916356,0
11294,10874614,27916356,0
11295,10875245,27988327,0
11296,10875245,27988327,0
11297,10875245,27988327,0
11298,10875245,27988327,0
11299,10876237,28088972,0
11300,10876944,28229936,0
11301,10877182,28229837,0
11302,10877182,28229837,0
11303,10877367,28231309,0
11304,10877367,28231309,0
11305,10877367,28231309,0
11306,10877367,28231309,0
11307,10877367,28231309,0
11308,10877367,28231309,0
11309,10878263,28357724,0
11310,10878263,28357724,0
11311,10880041,267990699,0
11312,10881855,416634550,0
11313,10881855,416634550,0
11314,10904343,48188683,0
11315,10904343,48188683,0
11316,10904343,48188683,0
11317,10904343,48188683,0
11318,10904343,48188683,0
11319,10904343,48188683,0
11320,10904343,48188683,0
11321,10904343,48188683,0
11322,10904343,48188683,0
11323,10905641,48353362,0
11324,10905746,48353358,2
11325,10905746,48353358,2
11326,10905911,48354224,0
11327,10907307,48449517,0
11328,10907307,48449517,0
11329,10909274,405685900,0
11330,10909274,405685900,0
11331,10909274,405685900,0
11332,10909274,405685900,0
11333,10909274,405685900,0
11334,10909274,405685900,0
11335,10909274,405685900,0
11336,10909274,405685900,0
11337,10909733,405719526,0
11338,10909974,243272995,0
11339,10910310,399826982,0
11340,10916600,267749620,0
11341,10916600,267749620,0
11342,10916600,267749620,0
11343,10917433,407002201,0
11344,10918393,417660500,0
11345,10918393,417660500,0
11346,10918580,417660471,0
11347,10918691,350811833,0
11348,10918691,350811833,0
11349,10918691,350811833,0
11350,10918691,350811833,0
11351,10918691,350811833,0
11352,10918691,350811833,0
11353,10918691,350811833,0
11354,10918691,350811833,0
11355,10920086,26539707,0
11356,10920281,26539759,0
11357,10920281,26539759,0
11358,10920281,26539759,0
11359,10920281,26539759,0
11360,10920420,26584883,0
11361,10920420,26584883,0
11362,10920420,26584883,0
11363,10920447,26584880,0
11364,10920447,26584880,0
11365,10921757,26596829,0
11366,10921894,26596762,0
11367,10921894,26596762,0
11368,10922093,26749818,0
11369,10922093,26749818,0
11370,10924282,26961972,0
11371,10924400,27009705,0
11372,10924400,27009705,0
11373,10924400,27009705,0
11374,10924400,27009705,0
11375,10925227,27011098,0
11376,10925227,27011098,0
11377,10925227,27011098,0
11378,10928043,27459059,0
11379,10931512,351189270,0
11380,10931512,351189270,0
11381,10931805,351189268,0
11382,10933561,28089143,0
11383,10933561,28089143,0
11384,10934543,28229560,0
11385,10934543,28229560,0
11386,10934543,28229560,0
11387,10934543,28229560,0
11388,10934543,28229560,0
11389,10934556,28231556,0
11390,10934556,28231556,0
11391,10934556,28231556,0
11392,10934556,28231556,0
11393,10934556,28231556,0
11394,10935310,28357285,0
11395,10935310,28357285,0
11396,10935383,28357315,0
11397,10936170,28449946,0
