,kic,TCE_ID,tic,disposition,not_transit,pn,n_plan,period,target_pixel_files
4320,6356627,006356627-02,121944673,FP,1,2,2,4.209445778,0
4321,6356692,006356692-01,122066892,PC,0,1,1,11.3916839,0
4322,6356928,006356928-01,122066914,FP,1,1,1,0.5296602992,0
4323,6357702,006357702-01,394172386,FP,1,1,2,0.5190205568,0
4324,6357702,006357702-02,394172386,FP,1,2,2,1.422611215,0
4325,6357795,006357795-01,394172295,FP,1,1,1,3.12895759,0
4326,6357902,006357902-01,394172344,FP,1,1,2,266.9460484,0
4327,6357902,006357902-02,394172344,FP,1,2,2,459.5137842,0
4328,6358676,006358676-01,122297258,FP,1,1,1,417.7269134,0
4329,6359725,006359725-01,122443624,FP,1,1,1,535.1900342,0
4330,6359798,006359798-01,122443599,FP,0,1,3,14.15403218,0
4331,6359798,006359798-02,122443599,FP,1,2,3,14.15402676,0
4332,6359798,006359798-03,122443599,FP,1,3,3,446.8955796,0
4333,6362386,006362386-01,137088037,FP,0,1,4,4.59240162,0
4334,6362386,006362386-02,137088037,FP,1,2,4,2.296182545,0
4335,6362386,006362386-04,137088037,FP,1,4,4,188.3743272,0
4336,6362874,006362874-01,137211068,PC,0,1,1,0.9748473838,0
4337,6362947,006362947-01,137211158,FP,1,1,1,0.5775454113,0
4338,6364582,006364582-01,137408775,PC,0,1,1,30.86087573,0
4339,6365076,006365076-01,137409466,FP,1,1,4,324.3929174,0
4340,6365076,006365076-03,137409466,FP,1,3,4,282.5403455,0
4341,6365076,006365076-04,137409466,FP,1,4,4,581.8487665,0
4342,6365080,006365080-01,137409460,FP,1,1,4,452.7285957,0
4343,6365080,006365080-02,137409460,FP,1,2,4,513.8688804,0
4344,6365080,006365080-03,137409460,FP,1,3,4,460.9373678,0
4345,6365080,006365080-04,137409460,FP,1,4,4,321.7407365,0
4346,6365156,006365156-01,137409501,PC,0,1,1,10.21419341,0
4347,6366501,006366501-01,137757234,FP,1,1,4,1.208188395,0
4348,6366501,006366501-02,137757234,FP,1,2,4,1.207156945,0
4349,6366501,006366501-03,137757234,FP,1,3,4,1.208140014,0
4350,6366501,006366501-04,137757234,FP,1,4,4,1.208124392,0
4351,6366512,006366512-01,137757214,FP,1,1,3,2.658186077,0
4352,6366512,006366512-02,137757214,FP,1,2,3,2.658373939,0
4353,6366512,006366512-03,137757214,FP,1,3,3,2.658764471,0
4354,6366617,006366617-01,137757378,FP,1,1,1,0.5740223743999999,0
4355,6367159,006367159-01,137901631,FP,1,1,1,456.3643764,0
4356,6367260,006367260-01,137901722,FP,1,1,8,0.8315451475,0
4357,6367260,006367260-02,137901722,FP,1,2,8,0.8314695069,0
4358,6367260,006367260-03,137901722,FP,1,3,8,46.1804446,0
4359,6367260,006367260-04,137901722,FP,1,4,8,59.22772705,0
4360,6367260,006367260-05,137901722,FP,1,5,8,47.9577976,0
4361,6367260,006367260-06,137901722,FP,1,6,8,11.32079853,0
4362,6367260,006367260-07,137901722,FP,1,7,8,178.7382364,0
4363,6367260,006367260-08,137901722,FP,1,8,8,59.70505268,0
4364,6367628,006367628-01,137902569,FP,0,1,1,3.779705231,0
4365,6369222,006369222-01,138220768,FP,1,1,2,1.225742977,0
4366,6369222,006369222-02,138220768,FP,1,2,2,22.05006105,0
4367,6369539,006369539-01,138220803,FP,1,1,3,0.7740479842,0
4368,6369539,006369539-02,138220803,FP,1,2,3,306.0742952,0
4369,6369539,006369539-03,138220803,FP,1,3,3,283.17476810000005,0
4370,6370174,006370174-01,138429819,FP,1,1,6,452.5067773,0
4371,6370174,006370174-02,138429819,FP,1,2,6,282.3548563,0
4372,6370174,006370174-03,138429819,FP,1,3,6,519.4364103999999,0
4373,6370174,006370174-04,138429819,FP,1,4,6,1.721220176,0
4374,6370174,006370174-05,138429819,FP,1,5,6,232.4097957,0
4375,6370174,006370174-06,138429819,FP,1,6,6,224.987118,0
4376,6370531,006370531-01,138429825,FP,1,1,2,423.1534728,0
4377,6370558,006370558-01,138429650,FP,1,1,1,60.31685014,1
4378,6372320,006372320-01,377912501,FP,1,1,1,0.8358687701999999,0
4379,6372633,006372633-01,377912647,FP,1,1,1,1.053046428,0
4380,6374063,006374063-01,138723064,FP,1,1,2,2.115663491,0
4381,6374063,006374063-02,138723064,FP,1,2,2,2.11574265,0
4382,6380217,006380217-01,184426098,FP,1,1,1,0.836414036,0
4383,6380544,006380544-01,184562897,FP,1,1,3,1.9483397,0
4384,6380544,006380544-02,184562897,FP,1,2,3,1.948387853,0
4385,6380544,006380544-03,184562897,FP,1,3,3,46.64935352,0
4386,6381128,006381128-01,360021751,FP,1,1,3,0.6128430327000001,0
4387,6381128,006381128-02,360021751,FP,1,2,3,0.6128366823,0
4388,6381128,006381128-03,360021751,FP,1,3,3,1.424516176,0
4389,6381309,006381309-01,360021758,FP,1,1,10,2.089112607,0
4390,6381309,006381309-02,360021758,FP,1,2,10,413.4688563,0
4391,6381309,006381309-03,360021758,FP,1,3,10,93.5651015,0
4392,6381309,006381309-04,360021758,FP,1,4,10,89.2800298,0
4393,6381309,006381309-05,360021758,FP,1,5,10,292.009411,0
4394,6381309,006381309-06,360021758,FP,1,6,10,201.8568504,0
4395,6381309,006381309-07,360021758,FP,1,7,10,34.9975226,0
4396,6381309,006381309-08,360021758,FP,1,8,10,271.3334858,0
4397,6381309,006381309-09,360021758,FP,1,9,10,64.55924742,0
4398,6381309,006381309-10,360021758,FP,1,10,10,198.1511758,0
4399,6381517,006381517-01,360021859,FP,1,1,2,2.060616206,0
4400,6381517,006381517-02,360021859,FP,1,2,2,2.06028489,0
4401,6381778,006381778-01,239229304,FP,1,1,1,456.7514858,0
4402,6382217,006382217-01,239229234,PC,0,1,2,8.411008666,0
4403,6382217,006382217-02,239229234,PC,0,2,2,5.795301932,0
4404,6383595,006383595-01,169175102,FP,1,1,1,2.815269098,0
4405,6385010,006385010-01,169466063,FP,1,1,1,20.85575791,0
4406,6386598,006386598-01,169821760,FP,1,1,1,0.7448334843000001,0
4407,6386784,006386784-01,170248996,FP,0,1,1,1.99565372,0
4408,6386823,006386823-01,170248281,FP,1,1,3,379.574605,0
4409,6386823,006386823-02,170248281,FP,1,2,3,1.0768498709999998,0
4410,6386823,006386823-03,170248281,FP,1,3,3,383.3880071,0
4411,6387257,006387257-01,170248330,FP,1,1,1,2.734947824,0
4412,6387311,006387311-01,170248297,FP,1,1,3,1.587243104,0
4413,6387311,006387311-02,170248297,FP,1,2,3,254.8938683,0
4414,6387311,006387311-03,170248297,FP,1,3,3,125.9769508,0
4415,6387814,006387814-02,170251776,FP,1,2,2,294.5418936000001,0
4416,6387819,006387819-01,170251341,FP,1,1,1,11.2442634,0
4417,6387895,006387895-01,170251680,FP,1,1,3,0.522807726,0
4418,6387895,006387895-02,170251680,FP,1,2,3,0.5228016659,0
4419,6387895,006387895-03,170251680,FP,1,3,3,0.5228063356,0
4420,6388333,006388333-01,170652634,FP,1,1,3,0.6358997382,0
4421,6388333,006388333-02,170652634,FP,1,2,3,0.6358934714,0
4422,6388333,006388333-03,170652634,FP,1,3,3,0.6359017393999999,0
4423,6389733,006389733-01,171091790,FP,1,1,1,435.19406,0
4424,6390013,006390013-01,171092021,FP,1,1,1,0.7967228493999999,0
4425,6390236,006390236-01,171092006,FP,1,1,1,0.8987647062,0
4426,6390243,006390243-01,171093741,FP,1,1,1,1.470018034,0
4427,6421008,006421008-01,377731029,FP,1,1,1,258.7207148,0
4428,6421137,006421137-01,377731008,FP,1,1,3,2.456085435,0
4429,6421137,006421137-02,377731008,FP,1,2,3,358.72398030000005,0
4430,6421137,006421137-03,377731008,FP,1,3,3,225.7059164,0
4431,6421480,006421480-01,258202143,FP,1,1,2,331.8825168,0
4432,6421480,006421480-02,258202143,FP,1,2,2,321.8247522,0
4433,6421483,006421483-01,258202132,FP,0,1,2,2.158416516,0
4434,6421483,006421483-02,258202132,FP,1,2,2,2.1583847240000003,0
4435,6421759,006421759-01,258350240,FP,1,1,10,1.174548127,0
4436,6421759,006421759-02,258350240,FP,1,2,10,3.4611639110000003,0
4437,6421759,006421759-03,258350240,FP,1,3,10,3.461214453,0
4438,6421759,006421759-05,258350240,FP,1,5,10,29.64419282,0
